distance_km,empreinte_train_kg,empreinte_avion_kg,ratio_co2,operateur,pays_operateur,trajet_id,gare_depart,gare_arrivee,heure_depart,heure_arrivee,type_service
447.0,10.728,70.626,0.1519,ÖBB-Personenverkehr AG,AT,JOUR_OBB_593,Innsbruck Hauptbahnhof,Wien Hauptbahnhof,1899-12-30T14:12:00.000Z,1899-12-30T18:00:00.000Z,JOUR
763.0,17.366,120.554,0.1441,TCDD Taşımacılık A.Ş.,TR,JOUR_TCDD_2091,Ankara Gari,Istanbul Halkali,1899-12-30T14:00:00.000Z,1899-12-30T20:15:00.000Z,JOUR
856.0,27.1,135.248,0.2004,PKP Intercity S.A.,PL,PKP/ČD EC 461,Gdynia Gł.,Praha hl.n.,1899-12-30T23:13:00.000Z,1899-12-30T09:06:00.000Z,NUIT
723.0,15.183,114.234,0.1329,Железнице Србије ад,RS,JOUR_ZS_176,Nis,Beograd Centar,1899-12-30T14:10:00.000Z,1899-12-30T19:53:00.000Z,JOUR
1045.0,16.72,165.11,0.1013,HŽ Putnički prijevoz d.o.o.,HR,JOUR_HZ_334,Dubrovnik,Zagreb,1899-12-30T08:05:00.000Z,1899-12-30T16:25:00.000Z,JOUR
1484.0,25.4,234.472,0.1083,Укрзалізниця,UA,UZ 004,Zaporizhzhia 1,Uzhhorod,1899-12-30T17:53:00.000Z,1899-12-30T14:27:00.000Z,NUIT
389.0,9.336,61.462,0.1519,ÖBB-Personenverkehr AG,AT,JOUR_OBB_1040,Wien Hauptbahnhof,Salzburg Hauptbahnhof,1899-12-30T08:05:00.000Z,1899-12-30T10:53:00.000Z,JOUR
654.0,15.696,103.332,0.1519,ÖBB-Personenverkehr AG,AT,JOUR_OBB_88,Wien Hauptbahnhof,Zurich HB,1899-12-30T14:18:00.000Z,1899-12-30T19:29:00.000Z,JOUR
1055.0,5.275,166.69,0.0316,SNCF Voyageurs SA,FR,JOUR_SNCF_6201,Paris Gare de Lyon,Barcelona Sants,1899-12-30T09:53:00.000Z,1899-12-30T17:08:00.000Z,JOUR
425.0,9.0,67.15,0.134,БДЖ - Пътнически превози ЕООД,BG,BDŽ 3686,Burgas,Sofia,1899-12-30T22:50:00.000Z,1899-12-30T05:13:00.000Z,NUIT
712.0,2.0,112.496,0.0178,SNCF Voyageurs SA,FR,SNCF IC Nuit 3754,Rodez,Paris Austerlitz,1899-12-30T22:19:00.000Z,1899-12-30T08:32:00.000Z,NUIT
725.0,0.23,114.55,0.002,SJ Norge AS,NO,SJN 476,Bodø,Trondheim,1899-12-30T21:09:00.000Z,1899-12-30T07:15:00.000Z,NUIT
634.0,1.902,100.172,0.019,SJ AB,SE,JOUR_SJ_2541,Malmo C,Stockholm C,1899-12-30T13:11:00.000Z,1899-12-30T18:38:00.000Z,JOUR
820.0,16.5,129.56,0.1274,Trenitalia S.p.A,IT,FS IC Notte 1960,Siracusa,Roma Termini,1899-12-30T21:45:00.000Z,1899-12-30T09:51:00.000Z,NUIT
604.0,14.0,95.432,0.1467,Astra Trans Carpatic SRL,RO,ATC IR 11500,Arad,București Nord,1899-12-30T19:05:00.000Z,1899-12-30T07:29:00.000Z,NUIT
1456.0,1.4,230.048,0.0061,SJ AB,SE,SJ Nattåg 94 (N),Stockholm C,Narvik,1899-12-30T18:08:00.000Z,1899-12-30T12:40:00.000Z,NUIT
1339.0,30.5,211.562,0.1442,TCDD Taşımacılık A.Ş.,TR,TCDD 42009,Kars,Ankara,1899-12-30T08:00:00.000Z,1899-12-30T09:39:00.000Z,NUIT
1380.0,29.3,218.04,0.1344,Trenitalia S.p.A,IT,FS IC Notte 1963,Milano Centrale,Siracusa,1899-12-30T20:10:00.000Z,1899-12-30T15:48:00.000Z,NUIT
425.0,9.0,67.15,0.134,БДЖ - Пътнически превози ЕООД,BG,BDŽ 3687,Sofia,Burgas,1899-12-30T23:40:00.000Z,1899-12-30T05:55:00.000Z,NUIT
863.0,20.712,136.354,0.1519,БДЖ - Пътнически превози ЕООД,BG,JOUR_BDZ_661,Sofia,Varna,1899-12-30T08:15:00.000Z,1899-12-30T15:06:00.000Z,JOUR
669.0,16.2,105.702,0.1533,TCDD Taşımacılık A.Ş.,TR,TCDD 72008,Konya,İzmir Basmane,1899-12-30T19:00:00.000Z,1899-12-30T07:37:00.000Z,NUIT
602.0,3.9,95.116,0.041,SNCF Voyageurs SA,FR,SNCF IC Nuit 3790,Aurillac,Paris Austerlitz,1899-12-30T22:41:00.000Z,1899-12-30T09:32:00.000Z,NUIT
451.0,9.9,71.258,0.1389,C.F.R. Călători S.A.,RO,CFR R-E 4007/1642,Bistrița Nord,București Nord,1899-12-30T21:25:00.000Z,1899-12-30T06:20:00.000Z,NUIT
903.0,5.3,142.674,0.0371,HŽ Putnički prijevoz d.o.o.,HR,HŽPP/ÖBB EN 40414,Zagreb Gl. K.,Zürich HB,1899-12-30T19:38:00.000Z,1899-12-30T09:20:00.000Z,NUIT
877.0,18.1,138.566,0.1306,Caledonian Sleeper Ltd.,GB,CS 1001 (A),London Euston,Aberdeen,1899-12-30T21:15:00.000Z,1899-12-30T07:40:00.000Z,NUIT
717.0,11.472,113.306,0.1012,HŽ Putnički prijevoz d.o.o.,HR,JOUR_HZ_5560,Zagreb,Split,1899-12-30T08:00:00.000Z,1899-12-30T13:43:00.000Z,JOUR
561.0,10.659,88.658,0.1202,Caledonian Sleeper Ltd.,GB,JOUR_CS_5021,Inverness,London Euston,1899-12-30T13:15:00.000Z,1899-12-30T17:58:00.000Z,JOUR
1197.0,22.9,189.126,0.1211,Укрзалізниця,UA,UZ 001 L,Ivano-Frankivsk,Kharkiv,1899-12-30T19:53:00.000Z,1899-12-30T12:33:00.000Z,NUIT
631.0,12.5,99.698,0.1254,Trenitalia S.p.A,IT,FS IC Notte 763,Bolzano / Bozen,Roma Termini,1899-12-30T21:30:00.000Z,1899-12-30T06:06:00.000Z,NUIT
711.0,15.3,112.338,0.1362,Trenitalia S.p.A,IT,FS IC Notte 770,Trieste Centrale,Roma Termini,1899-12-30T19:11:00.000Z,1899-12-30T06:35:00.000Z,NUIT
502.0,12.048,79.036,0.1524,БДЖ - Пътнически превози ЕООД,BG,JOUR_BDZ_4721,Plovdiv,Sofia,1899-12-30T14:45:00.000Z,1899-12-30T18:20:00.000Z,JOUR
669.0,16.2,105.702,0.1533,TCDD Taşımacılık A.Ş.,TR,TCDD 32007,İzmir Basmane,Konya,1899-12-30T20:05:00.000Z,1899-12-30T09:01:00.000Z,NUIT
